Datetime,Close_Price,Prediction,Predicted_Price
2025-07-29 09:15:00,24840.25,0,24830.400390625
2025-07-29 09:20:00,24840.25,0,24830.400390625
2025-07-29 09:25:00,24840.25,0,24830.400390625
2025-07-29 09:30:00,24840.25,0,24830.400390625
2025-07-29 09:35:00,24840.25,0,24830.400390625
2025-07-29 09:40:00,24840.25,0,24830.400390625
2025-07-29 09:45:00,24840.25,0,24830.400390625
2025-07-29 09:50:00,24840.25,0,24830.400390625
2025-07-29 09:55:00,24840.25,0,24830.400390625
2025-07-29 10:00:00,24840.25,0,24830.400390625
2025-07-29 10:05:00,24840.25,0,24830.400390625
2025-07-29 10:10:00,24840.25,0,24830.400390625
2025-07-29 10:15:00,24840.25,0,24830.400390625
2025-07-29 10:20:00,24840.25,0,24830.400390625
2025-07-29 10:25:00,24840.25,0,24830.400390625
2025-07-29 10:30:00,24840.25,0,24830.400390625
2025-07-29 10:35:00,24840.25,0,24830.400390625
2025-07-29 10:40:00,24840.25,0,24830.400390625
2025-07-29 10:45:00,24840.25,0,24830.400390625
2025-07-29 10:50:00,24840.25,0,24830.400390625
2025-07-29 10:55:00,24840.25,0,24830.400390625
2025-07-29 11:00:00,24840.25,0,24830.400390625
2025-07-29 11:05:00,24840.25,0,24830.400390625
2025-07-29 11:10:00,24840.25,0,24830.400390625
2025-07-29 11:15:00,24840.25,0,24830.400390625
2025-07-29 11:20:00,24840.25,0,24830.400390625
2025-07-29 11:25:00,24840.25,0,24830.400390625
2025-07-29 11:30:00,24840.25,0,24830.400390625
2025-07-29 11:35:00,24840.25,0,24830.400390625
2025-07-29 11:40:00,24840.25,0,24830.400390625
2025-07-29 11:45:00,24840.25,0,24830.400390625
2025-07-29 11:50:00,24840.25,0,24830.400390625
2025-07-29 11:55:00,24840.25,0,24830.400390625
2025-07-29 12:00:00,24840.25,0,24830.400390625
2025-07-29 12:05:00,24840.25,0,24830.400390625
2025-07-29 12:10:00,24840.25,0,24830.400390625
2025-07-29 12:15:00,24840.25,0,24830.400390625
2025-07-29 12:20:00,24840.25,0,24830.400390625
2025-07-29 12:25:00,24840.25,0,24830.400390625
2025-07-29 12:30:00,24840.25,0,24830.400390625
2025-07-29 12:35:00,24840.25,0,24830.400390625
2025-07-29 12:40:00,24840.25,0,24830.400390625
2025-07-29 12:45:00,24840.25,0,24830.400390625
2025-07-29 12:50:00,24840.25,0,24830.400390625
2025-07-29 12:55:00,24840.25,0,24830.400390625
2025-07-29 13:00:00,24840.25,0,24830.400390625
2025-07-29 13:05:00,24840.25,0,24830.400390625
2025-07-29 13:10:00,24840.25,0,24830.400390625
2025-07-29 13:15:00,24840.25,0,24830.400390625
2025-07-29 13:20:00,24840.25,0,24830.400390625
2025-07-29 13:25:00,24840.25,0,24830.400390625
2025-07-29 13:30:00,24840.25,0,24830.400390625
2025-07-29 13:35:00,24840.25,0,24830.400390625
2025-07-29 13:40:00,24840.25,0,24830.400390625
2025-07-29 13:45:00,24840.25,0,24830.400390625
2025-07-29 13:50:00,24840.25,0,24830.400390625
2025-07-29 13:55:00,24840.25,0,24830.400390625
2025-07-29 14:00:00,24840.25,0,24830.400390625
2025-07-29 14:05:00,24840.25,0,24830.400390625
2025-07-29 14:10:00,24840.25,0,24830.400390625
2025-07-29 14:15:00,24840.25,0,24830.400390625
2025-07-29 14:20:00,24840.25,0,24830.400390625
2025-07-29 14:25:00,24840.25,0,24830.400390625
2025-07-29 14:30:00,24840.25,0,24830.400390625
2025-07-29 14:35:00,24840.25,0,24830.400390625
2025-07-29 14:40:00,24840.25,0,24830.400390625
2025-07-29 14:45:00,24840.25,0,24830.400390625
2025-07-29 14:50:00,24840.25,0,24830.400390625
2025-07-29 14:55:00,24840.25,0,24830.400390625
2025-07-29 15:00:00,24840.25,0,24830.400390625
2025-07-29 15:05:00,24840.25,0,24830.400390625
2025-07-29 15:10:00,24840.25,0,24830.400390625
2025-07-29 15:15:00,24840.25,0,24830.400390625
2025-07-29 15:20:00,24840.25,0,24830.400390625
2025-07-29 15:25:00,24840.25,0,24830.400390625
2025-07-29 15:30:00,24840.25,0,24830.400390625
